role,activity,date
"Invited judge","Technovation Tunisia regional pitch","2018 May 05"
"Invited blog post","[Guiding change towards agency](https://medium.com/read-write-participate/guiding-change-towards-agency-41a657523ac3)","2017 August 08"
"Named to Mozilla's Network50","[50 people who are making the internet a better place](https://medium.com/read-write-participate/50-people-who-are-making-the-internet-a-better-place-10a7864403d)","2017"
"Invited contributor, ResearchKit blog","'[Participant-centered research in a rocky data sharing climate](http://researchkit.org/blog.html#article-24)'","2016 November 30"
"Invited expert","Mozilla open leaders mentorship program","2016-present"
"Program committee member","International Data Forum, International Data Week","2016"
"Mentor","[Mozilla mentorship program](https://github.com/MozillaFoundation/mentorship-program/blob/master/mentors.md#brian-bot-brian-bot): Open leadership training series","2016"
"Invited hackathon leader","MIT hacking medicine: grand hack","2016 April 29 - May 1"
"Invited working group member","Institute of Medicine (IOM) sharing clinical trial data IT working group","2015-2016"
"Invited member","Open leadership cohort, Mozilla Science Labs","2016"
"Workshop co-organizer","Intelligent Systems for Molecular Biology (ISMB): Applied knowledge building networks for translation - how to use DREAM Challenges and the Synapse platform as a research strategy","2015 July 11"
"Invited contributor","President Obamaâ€™s Precision Medicine Initiative: roundtable on participant engagement","2015 June 25"
"Contributor","Trans-NIH workshop to explore the ethical, legal and social implications (ELSI) of citizen science","2015 January 14"
"Chair","White House Office of Science and Technology Policy (OSTP) committee on modular consent","2014-2015"
"Invited contributor","White House OSTP roundtable on patient data donation for research","2014 August 7"
"Member","NCI Integrative Cancer Biology Program (ICBP) outreach and education committee","2012-2014"
"Member","The Future of Research Communication and e-Scholarship (FORCE11)","2014-present"
"[Public response](https://obamawhitehouse.archives.gov/sites/default/files/microsites/ostp/digital-data-(%23062) Bot_final.pdf)","White House OSTP request for information on public access to digital data","2012 January 12"
"Public signatory","[access2research petition](https://en.wikipedia.org/wiki/Access2Research) to 'Require free, timely access over the Internet to journal articles arising from taxpayer-funded research' through https://petitions.whitehouse.gov","2012"
